line_key,order_key,product_key,quantity,unit_price,discount_pct,line_total_usd
LINE-0000001,ORD-000001,PROD-000188,2,52.43,0.15,89.13
LINE-0000002,ORD-000001,PROD-000130,3,405.27,0.0,1215.81
LINE-0000003,ORD-000001,PROD-000482,1,29.45,0.0,29.45
LINE-0000005,ORD-000002,PROD-000009,1,1086.01,0.0,1086.01
LINE-0000006,ORD-000003,PROD-000534,1,66.9,0.0,66.9
LINE-0000007,ORD-000003,PROD-000022,1,990.09,0.2,792.07
LINE-0000008,ORD-000003,PROD-000521,2,35.54,0.0,71.08
LINE-0000009,ORD-000004,PROD-000050,1,1454.47,0.0,1454.47
LINE-0000010,ORD-000004,PROD-000489,2,157.18,0.0,314.36
LINE-0000011,ORD-000005,PROD-000384,1,73.3,0.25,54.97
LINE-0000012,ORD-000005,PROD-000293,3,78.2,0.05,222.87
LINE-0000013,ORD-000006,PROD-000184,3,119.18,0.0,357.54
LINE-0000014,ORD-000006,PROD-000115,1,465.34,0.0,465.34
LINE-0000015,ORD-000006,PROD-000260,1,248.5,0.2,198.8
LINE-0000016,ORD-000006,PROD-000169,1,355.13,0.0,355.13
LINE-0000017,ORD-000007,PROD-000302,3,175.06,0.25,393.89
LINE-0000018,ORD-000008,PROD-000412,1,12.55,0.15,10.67
LINE-0000019,ORD-000008,PROD-000421,1,18.21,0.2,14.57
LINE-0000020,ORD-000008,PROD-000546,1,151.81,0.1,136.63
LINE-0000021,ORD-000008,PROD-000486,2,109.38,0.2,175.01
LINE-0000022,ORD-000009,PROD-000524,1,122.29,0.0,122.29
LINE-0000023,ORD-000009,PROD-000520,1,115.76,0.0,115.76
LINE-0000024,ORD-000010,PROD-000077,5,73.36,0.1,330.12
LINE-0000025,ORD-000010,PROD-000384,1,73.3,0.0,73.3
LINE-0000026,ORD-000011,PROD-000399,3,70.9,0.0,212.7
LINE-0000027,ORD-000011,PROD-000392,1,50.05,0.15,42.54
LINE-0000028,ORD-000011,PROD-000314,1,154.58,0.25,115.94
LINE-0000029,ORD-000011,PROD-000390,3,72.92,0.05,207.82
LINE-0000030,ORD-000012,PROD-000225,2,46.97,0.2,75.15
LINE-0000032,ORD-000013,PROD-000146,1,487.67,0.2,390.14
