order_key,customer_key,order_timestamp,order_status,payment_method,shipping_region,fulfillment_center
ORD-000001,CUST-000145,2024-09-29 03:36:00,Delivered,Direct Bank Transfer,NC,FC-East-01
ORD-000002,CUST-000601,2026-04-04 16:16:00,Delivered,Buy Now Pay Later,FL,FC-East-01
ORD-000003,CUST-000624,2024-06-05 10:21:00,Delivered,Direct Bank Transfer,MI,FC-South-04
ORD-000004,CUST-000244,2025-04-09 06:09:00,Delivered,Credit Card,FL,FC-West-02
ORD-000005,CUST-000285,2025-04-26 13:16:00,Delivered,Direct Bank Transfer,GA,FC-East-01
ORD-000006,CUST-000553,2025-02-18 22:07:00,Delivered,Apple Pay,OH,FC-North-05
ORD-000007,CUST-000492,2025-12-31 07:17:00,Processing,PayPal,GA,FC-Central-03
ORD-000008,CUST-000381,2026-05-22 09:01:00,Delivered,Direct Bank Transfer,MI,FC-East-01
ORD-000009,CUST-000056,2026-01-08 21:15:00,Processing,Apple Pay,OH,FC-North-05
ORD-000010,CUST-000320,2025-11-16 22:23:00,Delivered,Credit Card,FL,FC-North-05
ORD-000011,CUST-000459,2025-03-04 00:58:00,Delivered,Buy Now Pay Later,IL,FC-Central-03
ORD-000012,CUST-000094,2026-05-23 07:19:00,Shipped,PayPal,GA,FC-West-02
ORD-000013,CUST-000328,2026-07-20 20:26:00,Processing,Credit Card,CA,FC-Central-03
ORD-000014,CUST-000510,2025-05-28 23:26:00,Delivered,Apple Pay,CA,FC-South-04
ORD-000015,CUST-000166,2026-01-16 08:32:00,Cancelled,Credit Card,OH,FC-Central-03
ORD-000016,CUST-000626,2026-02-16 17:47:00,Delivered,Apple Pay,MI,FC-South-04
ORD-000017,CUST-000029,2026-03-22 01:41:00,Delivered,PayPal,CO,FC-South-04
ORD-000018,CUST-000141,2024-02-04 12:12:00,Returned,Apple Pay,WA,FC-Central-03
ORD-000019,CUST-000085,2024-05-24 05:15:00,Delivered,Direct Bank Transfer,WA,FC-West-02
ORD-000020,CUST-000426,2026-04-22 10:28:00,Shipped,Buy Now Pay Later,IL,FC-West-02
ORD-000021,CUST-000179,2026-01-04 18:52:00,Delivered,Apple Pay,FL,FC-Central-03
ORD-000022,CUST-000087,2025-03-31 11:11:00,Shipped,Buy Now Pay Later,WA,FC-South-04
ORD-000023,CUST-000232,2024-02-22 00:59:00,Delivered,Direct Bank Transfer,CO,FC-North-05
ORD-000024,CUST-000237,2024-05-02 14:12:00,Delivered,Apple Pay,NY,FC-West-02
ORD-000025,CUST-000415,2025-10-25 13:38:00,Delivered,Apple Pay,CA,FC-West-02
ORD-000026,CUST-000381,2024-07-24 18:07:00,Delivered,Credit Card,OH,FC-North-05
ORD-000027,CUST-000470,2026-05-28 21:31:00,Delivered,Credit Card,MI,FC-West-02
ORD-000028,CUST-000211,2024-08-14 08:18:00,Delivered,Buy Now Pay Later,TX,FC-South-04
ORD-000029,CUST-000447,2026-06-26 06:38:00,Delivered,PayPal,MI,FC-Central-03
ORD-000030,CUST-000195,2025-04-04 05:26:00,Delivered,PayPal,IL,FC-East-01
ORD-000032,CUST-000475,2024-04-28 00:30:00,Shipped,PayPal,MI,FC-Central-03
ORD-000033,CUST-000412,2026-01-04 06:45:00,Delivered,Buy Now Pay Later,MI,FC-South-04
ORD-000034,CUST-000621,2024-10-20 02:06:00,Shipped,Direct Bank Transfer,NY,FC-East-01
ORD-000035,CUST-000345,2024-09-28 15:58:00,Delivered,Apple Pay,CO,FC-North-05
ORD-000036,CUST-000622,2026-01-27 23:51:00,Processing,Credit Card,IL,FC-East-01
ORD-000037,CUST-000523,2025-10-27 12:19:00,Delivered,Buy Now Pay Later,TX,FC-Central-03
ORD-000038,CUST-000579,2024-03-14 18:11:00,Delivered,Apple Pay,NC,FC-West-02
ORD-000039,CUST-000511,2025-01-13 14:08:00,Delivered,Credit Card,MI,FC-Central-03
ORD-000041,CUST-000132,2025-06-26 08:47:00,Delivered,Apple Pay,IL,FC-South-04
ORD-000042,CUST-000272,2025-10-20 08:33:00,Delivered,Apple Pay,TX,FC-South-04
ORD-000043,CUST-000327,2026-02-24 15:48:00,Returned,PayPal,CO,FC-North-05
ORD-000045,CUST-000037,2025-05-27 08:10:00,Delivered,Buy Now Pay Later,CA,FC-South-04
ORD-000046,CUST-000513,2024-03-13 14:22:00,Returned,Direct Bank Transfer,GA,FC-South-04
ORD-000047,CUST-000511,2024-05-26 23:55:00,Delivered,PayPal,PA,FC-East-01
ORD-000048,CUST-000097,2024-08-27 09:11:00,Delivered,PayPal,IL,FC-North-05
ORD-000050,CUST-000591,2024-08-03 13:58:00,Processing,Credit Card,GA,FC-West-02
ORD-000051,CUST-000098,2025-01-02 00:18:00,Delivered,Credit Card,PA,FC-South-04
ORD-000052,CUST-000613,2024-05-19 10:09:00,Delivered,Credit Card,GA,FC-East-01
ORD-000053,CUST-000497,2025-05-10 20:17:00,Delivered,Direct Bank Transfer,PA,FC-East-01
ORD-000054,CUST-000045,2025-12-03 19:28:00,Delivered,Apple Pay,TX,FC-North-05
ORD-000056,CUST-000073,2025-08-14 19:24:00,Delivered,Credit Card,IL,FC-South-04
ORD-000057,CUST-000184,2024-10-03 12:05:00,Delivered,Credit Card,TX,FC-West-02
ORD-000058,CUST-000402,2026-04-09 12:18:00,Shipped,PayPal,IL,FC-East-01
ORD-000059,CUST-000509,2026-05-01 13:47:00,Delivered,Apple Pay,TX,FC-North-05
ORD-000060,CUST-000372,2025-12-13 03:53:00,Delivered,Apple Pay,FL,FC-North-05
ORD-000061,CUST-000508,2025-05-02 12:30:00,Delivered,Apple Pay,WA,FC-North-05
ORD-000063,CUST-000450,2025-11-07 13:05:00,Delivered,Credit Card,PA,FC-North-05
ORD-000064,CUST-000480,2025-12-24 07:41:00,Delivered,PayPal,NC,FC-South-04
ORD-000065,CUST-000544,2024-04-26 09:29:00,Delivered,Buy Now Pay Later,GA,FC-East-01
