product_key,product_name,category,subcategory,brand,unit_cost,selling_price
PROD-000001,NexusGear Accessories Ultra 922,Consumer Electronics,Accessories,NexusGear,409.35,772.92
PROD-000002,AuraSound Audio & Headphones Lite 626,Consumer Electronics,Audio & Headphones,AuraSound,94.54,141.86
PROD-000003,ApexTech Accessories Pro 741,Consumer Electronics,Accessories,ApexTech,54.4,116.89
PROD-000004,VoltEdge Laptops Pro 310,Consumer Electronics,Laptops,VoltEdge,370.44,815.87
PROD-000005,TechPulse Wearables Standard 802,Consumer Electronics,Wearables,TechPulse,133.5,247.55
PROD-000006,TechPulse Audio & Headphones Pro 175,Consumer Electronics,Audio & Headphones,TechPulse,42.33,100.31
PROD-000007,TechPulse Accessories Ultra 941,Consumer Electronics,Accessories,TechPulse,217.53,356.91
PROD-000008,VoltEdge Wearables Standard 514,Consumer Electronics,Wearables,VoltEdge,458.7,660.87
PROD-000009,ApexTech Smartphones Pro 756,Consumer Electronics,Smartphones,ApexTech,736.17,1086.01
PROD-000010,TechPulse Accessories Standard 968,Consumer Electronics,Accessories,TechPulse,47.81,127.42
PROD-000011,NexusGear Smartphones Standard 408,Consumer Electronics,Smartphones,NexusGear,551.97,917.71
PROD-000012,VoltEdge Wearables Plus 941,Consumer Electronics,Wearables,VoltEdge,532.96,997.86
PROD-000013,AuraSound Accessories Max 864,Consumer Electronics,Accessories,AuraSound,251.96,598.66
PROD-000014,NexusGear Accessories Standard 247,Consumer Electronics,Accessories,NexusGear,179.63,461.11
PROD-000015,TechPulse Audio & Headphones Ultra 995,Consumer Electronics,Audio & Headphones,TechPulse,552.75,841.49
PROD-000016,ApexTech Smartphones Ultra 503,Consumer Electronics,Smartphones,ApexTech,300.37,814.98
PROD-000017,AuraSound Audio & Headphones Standard 859,Consumer Electronics,Audio & Headphones,AuraSound,786.73,1357.24
PROD-000018,ApexTech Wearables Max 264,Consumer Electronics,Wearables,ApexTech,141.5,292.3
PROD-000019,AuraSound Audio & Headphones Pro 285,Consumer Electronics,Audio & Headphones,AuraSound,507.99,1013.04
PROD-000020,ApexTech Smartphones Plus 760,Consumer Electronics,Smartphones,ApexTech,498.65,833.49
PROD-000021,NexusGear Smartphones Pro 302,Consumer Electronics,Smartphones,NexusGear,579.18,1093.86
PROD-000022,NexusGear Audio & Headphones Max 787,Consumer Electronics,Audio & Headphones,NexusGear,658.39,990.09
PROD-000023,TechPulse Accessories Max 425,Consumer Electronics,Accessories,TechPulse,432.41,739.06
PROD-000024,ApexTech Audio & Headphones Max 679,Consumer Electronics,Audio & Headphones,ApexTech,358.44,858.95
PROD-000025,AuraSound Wearables Pro 420,Consumer Electronics,Wearables,AuraSound,239.23,384.33
PROD-000027,VoltEdge Wearables Plus 467,Consumer Electronics,General Accessories,VoltEdge,617.81,1166.65
PROD-000029,ApexTech Laptops Max 369,Consumer Electronics,Laptops,ApexTech,531.46,1105.64
PROD-000030,TechPulse Smartphones Ultra 746,Consumer Electronics,Smartphones,TechPulse,32.84,66.16
PROD-000031,ApexTech Wearables Max 137,Consumer Electronics,Wearables,ApexTech,426.36,836.35
PROD-000032,VoltEdge Accessories Standard 893,Consumer Electronics,Accessories,VoltEdge,135.01,239.97
PROD-000033,NexusGear Accessories Max 575,Consumer Electronics,Accessories,NexusGear,509.02,761.65
PROD-000035,AuraSound Accessories Ultra 243,Consumer Electronics,Accessories,AuraSound,433.62,680.4
PROD-000036,AuraSound Accessories Standard 849,Consumer Electronics,Accessories,AuraSound,422.53,735.58
PROD-000037,VoltEdge Laptops Max 164,Consumer Electronics,Laptops,VoltEdge,254.18,411.24
PROD-000038,ApexTech Laptops Lite 497,Consumer Electronics,Laptops,ApexTech,386.78,715.11
PROD-000039,TechPulse Smartphones Standard 431,Consumer Electronics,Smartphones,TechPulse,62.37,172.76
PROD-000040,NexusGear Audio & Headphones Ultra 657,Consumer Electronics,Audio & Headphones,NexusGear,490.8,863.83
PROD-000041,NexusGear Wearables Ultra 769,Consumer Electronics,Wearables,NexusGear,907.8,1349.37
PROD-000042,VoltEdge Audio & Headphones Max 628,Consumer Electronics,Audio & Headphones,VoltEdge,256.92,620.64
PROD-000043,VoltEdge Audio & Headphones Plus 718,Consumer Electronics,Audio & Headphones,VoltEdge,11.64,29.75
PROD-000044,AuraSound Wearables Max 178,Consumer Electronics,Wearables,AuraSound,470.25,781.51
PROD-000045,AuraSound Laptops Max 470,Consumer Electronics,Laptops,AuraSound,377.21,910.98
PROD-000046,VoltEdge Laptops Lite 837,Consumer Electronics,Laptops,VoltEdge,87.04,187.73
PROD-000047,AuraSound Wearables Ultra 265,Consumer Electronics,Wearables,AuraSound,543.91,977.93
PROD-000048,TechPulse Laptops Max 687,Consumer Electronics,Laptops,TechPulse,585.38,896.66
PROD-000049,TechPulse Accessories Ultra 250,Consumer Electronics,Accessories,TechPulse,62.63,102.74
PROD-000050,ApexTech Laptops Plus 713,Consumer Electronics,Laptops,ApexTech,693.54,1454.47
PROD-000051,TechPulse Audio & Headphones Max 559,Consumer Electronics,Audio & Headphones,TechPulse,490.95,917.65
PROD-000052,AuraSound Wearables Max 950,Consumer Electronics,Wearables,AuraSound,408.18,627.92
PROD-000053,AuraSound Accessories Ultra 775,Consumer Electronics,Accessories,AuraSound,497.63,775.98
PROD-000054,VoltEdge Audio & Headphones Ultra 704,Consumer Electronics,Audio & Headphones,VoltEdge,69.18,121.88
PROD-000055,TechPulse Laptops Pro 307,Consumer Electronics,Laptops,TechPulse,302.94,793.6
PROD-000056,AuraSound Wearables Ultra 198,Consumer Electronics,Wearables,AuraSound,108.63,282.57
PROD-000057,TechPulse Accessories Ultra 615,Consumer Electronics,Accessories,TechPulse,756.49,1133.52
PROD-000058,ApexTech Laptops Ultra 947,Consumer Electronics,Laptops,ApexTech,8.09,21.77
PROD-000059,ApexTech Wearables Plus 479,Consumer Electronics,Wearables,ApexTech,599.29,1314.73
PROD-000060,AuraSound Wearables Plus 908,Consumer Electronics,Wearables,AuraSound,668.32,1157.62
PROD-000062,NexusGear Smartphones Ultra 997,Consumer Electronics,Smartphones,NexusGear,502.88,824.71
PROD-000063,TechPulse Smartphones Ultra 635,Consumer Electronics,Smartphones,TechPulse,135.58,194.38
PROD-000064,NexusGear Laptops Plus 470,Consumer Electronics,Laptops,NexusGear,97.91,177.73
PROD-000065,NexusGear Accessories Lite 975,Consumer Electronics,Accessories,NexusGear,408.64,813.43
PROD-000066,NexusGear Accessories Standard 506,Consumer Electronics,Accessories,NexusGear,631.65,1137.35
PROD-000067,VoltEdge Accessories Max 479,Consumer Electronics,Accessories,VoltEdge,449.73,847.45
PROD-000068,ApexTech Audio & Headphones Lite 892,Consumer Electronics,Audio & Headphones,ApexTech,470.85,1064.12
PROD-000069,AuraSound Smartphones Plus 901,Consumer Electronics,Smartphones,AuraSound,678.74,1054.97
PROD-000070,ApexTech Laptops Plus 904,Consumer Electronics,Laptops,ApexTech,264.24,520.88
PROD-000071,AuraSound Smartphones Plus 751,Consumer Electronics,Smartphones,AuraSound,18.59,27.82
PROD-000072,VoltEdge Laptops Ultra 545,Consumer Electronics,Laptops,VoltEdge,91.46,150.44
PROD-000073,TechPulse Audio & Headphones Ultra 138,Consumer Electronics,Audio & Headphones,TechPulse,408.78,1092.24
PROD-000074,ApexTech Wearables Standard 633,Consumer Electronics,Wearables,ApexTech,161.05,443.96
PROD-000075,AuraSound Smartphones Standard 606,Consumer Electronics,Smartphones,AuraSound,421.49,669.67
PROD-000076,NexusGear Accessories Max 134,Consumer Electronics,Accessories,NexusGear,615.27,1180.25
PROD-000077,ApexTech Laptops Max 790,Consumer Electronics,Laptops,ApexTech,45.21,73.36
PROD-000078,AuraSound Smartphones Pro 382,Consumer Electronics,Smartphones,AuraSound,676.65,1173.91
PROD-000079,VoltEdge Wearables Ultra 305,Consumer Electronics,Wearables,VoltEdge,347.58,786.25
PROD-000080,TechPulse Smartphones Ultra 391,Consumer Electronics,Smartphones,TechPulse,552.06,1094.68
PROD-000081,NexusGear Accessories Lite 935,Consumer Electronics,Accessories,NexusGear,209.36,429.22
PROD-000082,VoltEdge Laptops Plus 688,Consumer Electronics,Laptops,VoltEdge,17.16,26.87
PROD-000083,TechPulse Accessories Ultra 174,Consumer Electronics,Accessories,TechPulse,444.29,764.68
PROD-000084,ApexTech Smartphones Lite 997,Consumer Electronics,Smartphones,ApexTech,344.65,816.09
PROD-000085,VoltEdge Audio & Headphones Plus 676,Consumer Electronics,Audio & Headphones,VoltEdge,452.39,735.76
PROD-000086,VoltEdge Audio & Headphones Standard 571,Consumer Electronics,Audio & Headphones,VoltEdge,536.44,1346.85
PROD-000087,TechPulse Wearables Lite 169,Consumer Electronics,Wearables,TechPulse,248.6,586.35
PROD-000088,AuraSound Laptops Lite 522,Consumer Electronics,Laptops,AuraSound,744.59,1434.05
PROD-000090,TechPulse Audio & Headphones Ultra 282,Consumer Electronics,Audio & Headphones,TechPulse,417.96,725.29
PROD-000091,NexusGear Accessories Max 864,Consumer Electronics,Accessories,NexusGear,393.35,1030.99
PROD-000092,AuraSound Wearables Max 853,Consumer Electronics,Wearables,AuraSound,229.63,378.23
PROD-000093,AuraSound Laptops Max 956,Consumer Electronics,Laptops,AuraSound,603.78,935.51
PROD-000094,TechPulse Smartphones Pro 792,Consumer Electronics,Smartphones,TechPulse,756.82,1434.54
PROD-000095,ApexTech Smartphones Pro 968,Consumer Electronics,Smartphones,ApexTech,354.24,733.78
PROD-000096,ApexTech Wearables Lite 602,Consumer Electronics,Wearables,ApexTech,125.7,290.64
PROD-000097,NexusGear Accessories Plus 327,Consumer Electronics,Accessories,NexusGear,740.44,1130.24
PROD-000098,VoltEdge Accessories Plus 653,Consumer Electronics,Accessories,VoltEdge,39.44,68.18
PROD-000099,VoltEdge Laptops Pro 815,Consumer Electronics,Laptops,VoltEdge,463.91,786.93
PROD-000100,TechPulse Smartphones Standard 315,Consumer Electronics,Smartphones,TechPulse,386.57,581.54
PROD-000101,ApexTech Audio & Headphones Lite 291,Consumer Electronics,Audio & Headphones,ApexTech,513.26,831.86
PROD-000102,ApexTech Wearables Lite 474,Consumer Electronics,Wearables,ApexTech,161.17,292.18
PROD-000103,NexusGear Wearables Lite 974,Consumer Electronics,Wearables,NexusGear,332.33,612.87
PROD-000104,AuraSound Accessories Ultra 802,Consumer Electronics,Accessories,AuraSound,238.27,358.27
PROD-000105,AuraSound Audio & Headphones Ultra 542,Consumer Electronics,Audio & Headphones,AuraSound,812.79,1287.33
PROD-000106,VoltEdge Laptops Pro 280,Consumer Electronics,Laptops,VoltEdge,420.39,643.84
PROD-000107,ApexTech Accessories Standard 423,Consumer Electronics,Accessories,ApexTech,703.44,1182.28
PROD-000108,ApexTech Accessories Pro 507,Consumer Electronics,Accessories,ApexTech,107.01,166.47
PROD-000109,NexusGear Laptops Plus 959,Consumer Electronics,Laptops,NexusGear,516.61,952.19
PROD-000110,NexusGear Audio & Headphones Lite 468,Consumer Electronics,Audio & Headphones,NexusGear,317.52,849.31
PROD-000111,CozyNest Home Decor Pro 521,Home & Kitchen,Home Decor,CozyNest,29.25,73.79
PROD-000112,LuminaHome Storage Ultra 689,Home & Kitchen,Storage,LuminaHome,168.9,330.17
PROD-000113,CozyNest Home Decor Lite 789,Home & Kitchen,Home Decor,CozyNest,112.6,262.56
PROD-000114,ChefMaster Bedding Plus 728,Home & Kitchen,Bedding,ChefMaster,73.73,153.95
PROD-000115,LuminaHome Small Appliances Standard 927,Home & Kitchen,Small Appliances,LuminaHome,257.04,465.34
PROD-000116,ArtisanLiving Storage Plus 969,Home & Kitchen,Storage,ArtisanLiving,305.85,454.92
PROD-000117,LuminaHome Home Decor Lite 424,Home & Kitchen,Home Decor,LuminaHome,149.71,331.7
PROD-000118,PureCraft Storage Lite 555,Home & Kitchen,Storage,PureCraft,146.25,393.76
PROD-000119,ArtisanLiving Storage Plus 523,Home & Kitchen,Storage,ArtisanLiving,38.55,96.14
PROD-000120,LuminaHome Small Appliances Standard 357,Home & Kitchen,Small Appliances,LuminaHome,214.24,471.1
PROD-000121,LuminaHome Cookware Max 506,Home & Kitchen,Cookware,LuminaHome,44.01,64.95
PROD-000122,ArtisanLiving Bedding Pro 126,Home & Kitchen,Bedding,ArtisanLiving,200.9,388.89
PROD-000123,ChefMaster Cookware Lite 732,Home & Kitchen,Cookware,ChefMaster,42.51,90.3
PROD-000124,CozyNest Bedding Max 353,Home & Kitchen,General Accessories,CozyNest,203.09,372.72
PROD-000125,LuminaHome Small Appliances Ultra 958,Home & Kitchen,Small Appliances,LuminaHome,67.21,97.73
PROD-000126,CozyNest Home Decor Plus 578,Home & Kitchen,Home Decor,CozyNest,249.2,487.86
PROD-000127,ArtisanLiving Home Decor Plus 238,Home & Kitchen,Home Decor,ArtisanLiving,221.18,485.22
PROD-000128,ArtisanLiving Small Appliances Ultra 567,Home & Kitchen,Small Appliances,ArtisanLiving,153.29,321.05
PROD-000129,PureCraft Storage Ultra 755,Home & Kitchen,Storage,PureCraft,192.37,325.16
PROD-000130,PureCraft Home Decor Ultra 332,Home & Kitchen,Home Decor,PureCraft,221.01,405.27
PROD-000131,PureCraft Home Decor Lite 259,Home & Kitchen,General Accessories,PureCraft,113.55,162.22
