return_key,order_key,product_key,return_date,return_quantity,return_reason
RET-000001,ORD-000887,PROD-000413,2025-09-12 04:10:00,1,Late Delivery
RET-000003,ORD-000617,PROD-000230,2026-01-19 23:17:00,2,Buyer Remorse
RET-000005,ORD-000185,PROD-000543,2024-06-19 01:04:00,1,Changed Mind
RET-000006,ORD-000301,PROD-000543,2026-03-30 14:19:00,1,Changed Mind
RET-000007,ORD-000610,PROD-000101,2025-06-26 06:38:00,1,Changed Mind
RET-000008,ORD-000447,PROD-000393,2026-04-02 08:15:00,1,Late Delivery
RET-000010,ORD-000048,PROD-000165,2024-09-05 21:11:00,1,Changed Mind
RET-000011,ORD-000510,PROD-000347,2024-08-07 17:22:00,2,Late Delivery
RET-000013,ORD-000884,PROD-000533,2024-08-03 22:51:00,1,Buyer Remorse
RET-000014,ORD-001029,PROD-000005,2025-02-17 05:23:00,1,Wrong Size
RET-000016,ORD-000088,PROD-000356,2024-11-09 03:26:00,2,Defective Item
RET-000017,ORD-000999,PROD-000415,2026-04-05 11:48:00,1,Late Delivery
RET-000018,ORD-000784,PROD-000191,2025-09-25 23:20:00,1,Late Delivery
RET-000019,ORD-000785,PROD-000244,2024-03-04 22:00:00,1,Late Delivery
RET-000020,ORD-000879,PROD-000039,2026-03-17 20:50:00,1,Changed Mind
RET-000021,ORD-000284,PROD-000161,2025-02-10 11:13:00,1,Late Delivery
RET-000022,ORD-000177,PROD-000325,2025-12-30 08:22:00,1,Buyer Remorse
RET-000023,ORD-000627,PROD-000058,2024-12-07 00:13:00,1,Wrong Size
RET-000024,ORD-000498,PROD-000538,2026-06-08 13:06:00,2,Changed Mind
RET-000025,ORD-001080,PROD-000011,2026-01-08 02:08:00,1,Wrong Size
RET-000026,ORD-000919,PROD-000072,2024-11-16 16:41:00,1,Buyer Remorse
RET-000027,ORD-000821,PROD-000104,2025-05-02 13:32:00,1,Defective Item
RET-000028,ORD-001026,PROD-000168,2026-03-24 17:48:00,2,Changed Mind
RET-000029,ORD-001008,PROD-000512,2025-03-15 06:41:00,1,Late Delivery
RET-000030,ORD-000829,PROD-000178,2026-03-19 16:01:00,2,Wrong Size
RET-000031,ORD-000816,PROD-000450,2024-06-05 19:57:00,4,Late Delivery
RET-000032,ORD-000027,PROD-000001,2026-06-05 09:31:00,1,Wrong Size
RET-000033,ORD-001069,PROD-000272,2026-06-08 00:12:00,1,Late Delivery
RET-000035,ORD-000735,PROD-000131,2024-10-24 19:28:00,1,Changed Mind
RET-000036,ORD-000929,PROD-000212,2026-03-11 06:08:00,1,Defective Item
RET-000037,ORD-000236,PROD-000425,2025-03-30 12:19:00,3,Late Delivery
