line_key,order_key,product_key,quantity,unit_price,discount_pct
LINE-0000001,ORD-000001,PROD-000188,2,52.43,0.15
LINE-0000002,ORD-000001,PROD-000130,3,405.27,0.0
LINE-0000003,ORD-000001,PROD-000482,1,29.45,0.0
LINE-0000004,ORD-000002,PROD-000257,-1,159.69,0.15
LINE-0000005,ORD-000002,PROD-000009,1,1086.01,0.0
LINE-0000006,ORD-000003,PROD-000534,1,66.9,0.0
LINE-0000007,ORD-000003,PROD-000022,1,990.09,0.2
LINE-0000008,ORD-000003,PROD-000521,2,35.54,0.0
LINE-0000009,ORD-000004,PROD-000050,1,1454.47,0.0
LINE-0000010,ORD-000004,PROD-000489,2,157.18,0.0
LINE-0000011,ORD-000005,PROD-000384,1,73.3,0.25
LINE-0000012,ORD-000005,PROD-000293,3,78.2,0.05
LINE-0000013,ORD-000006,PROD-000184,3,119.18,0.0
LINE-0000014,ORD-000006,PROD-000115,1,465.34,0.0
LINE-0000015,ORD-000006,PROD-000260,1,248.5,0.2
LINE-0000016,ORD-000006,PROD-000169,1,355.13,0.0
LINE-0000017,ORD-000007,PROD-000302,3,175.06,0.25
LINE-0000018,ORD-000008,PROD-000412,1,12.55,0.15
LINE-0000019,ORD-000008,PROD-000421,1,18.21,0.2
LINE-0000020,ORD-000008,PROD-000546,1,151.81,0.1
LINE-0000021,ORD-000008,PROD-000486,2,109.38,0.2
LINE-0000022,ORD-000009,PROD-000524,1,122.29,0.0
LINE-0000023,ORD-000009,PROD-000520,1,115.76,0.0
LINE-0000024,ORD-000010,PROD-000077,5,73.36,0.1
LINE-0000025,ORD-000010,PROD-000384,1,73.3,0.0
LINE-0000026,ORD-000011,PROD-000399,3,70.9,0.0
LINE-0000027,ORD-000011,PROD-000392,1,50.05,0.15
LINE-0000028,ORD-000011,PROD-000314,1,154.58,0.25
LINE-0000029,ORD-000011,PROD-000390,3,72.92,0.05
LINE-0000030,ORD-000012,PROD-000225,2,46.97,0.2
LINE-0000031,ORD-000013,PROD-000469,2,103.87,2.0
LINE-0000032,ORD-000013,PROD-000146,1,487.67,0.2
LINE-0000033,ORD-000014,PROD-000148,1,244.31,0.05
LINE-0000034,ORD-000014,PROD-000017,1,144.94,0.25
LINE-0000035,ORD-000015,PROD-000507,1,185.8,0.25
LINE-0000036,ORD-000015,PROD-000416,1,61.55,0.15
LINE-0000037,ORD-000015,PROD-000486,1,109.38,0.05
LINE-0000038,ORD-000016,PROD-000136,1,53.41,0.0
LINE-0000039,ORD-000016,PROD-000433,1,39.75,0.0
LINE-0000040,ORD-000016,PROD-000053,1,775.98,0.1
LINE-0000041,ORD-000016,PROD-000257,1,159.69,0.15
LINE-0000042,ORD-000017,PROD-000366,3,117.71,0.25
LINE-0000043,ORD-000018,PROD-000451,2,39.64,0.25
LINE-0000044,ORD-000018,PROD-000081,1,429.22,0.0
LINE-0000045,ORD-000018,PROD-000309,2,159.95,0.25
LINE-0000046,ORD-000018,PROD-000371,3,86.7,0.0
LINE-0000047,ORD-000019,PROD-000347,0,27.56,0.0
LINE-0000048,ORD-000019,PROD-000203,1,332.86,0.0
LINE-0000049,ORD-000019,PROD-000325,1,111.59,0.0
LINE-0000050,ORD-000020,PROD-000284,1,68.94,0.0
LINE-0000051,ORD-000020,PROD-000063,2,194.38,0.05
LINE-0000052,ORD-000021,PROD-000025,5,384.33,0.15
LINE-0000053,ORD-000021,PROD-000468,1,82.53,0.25
LINE-0000054,ORD-000021,PROD-000421,2,18.21,0.15
LINE-0000055,ORD-000022,PROD-000299,1,105.58,0.0
LINE-0000056,ORD-000022,PROD-000384,2,73.3,0.25
LINE-0000057,ORD-000022,PROD-000053,2,775.98,0.25
LINE-0000058,ORD-000023,PROD-000535,1,195.07,0.0
LINE-0000059,ORD-000023,PROD-000038,1,715.11,0.2
LINE-0000060,ORD-000023,PROD-000527,2,75.57,0.15
LINE-0000061,ORD-000023,PROD-000070,5,520.88,0.25
LINE-0000062,ORD-000024,PROD-000150,1,248.39,0.0
LINE-0000063,ORD-000024,PROD-000148,1,244.31,0.2
LINE-0000064,ORD-000024,PROD-000206,1,41.44,0.1
LINE-0000065,ORD-000025,PROD-000231,2,97.82,0.0
LINE-0000066,ORD-000025,PROD-000043,2,29.75,0.0
LINE-0000067,ORD-000025,PROD-000046,2,187.73,0.05
LINE-0000068,ORD-000025,PROD-000318,2,220.88,0.2
LINE-0000069,ORD-000026,PROD-000435,3,77.92,0.2
LINE-0000070,ORD-000026,PROD-000159,3,107.03,0.1
LINE-0000071,ORD-000027,PROD-000001,1,487.03,0.0
LINE-0000072,ORD-000027,PROD-000069,2,1054.97,0.0
LINE-0000073,ORD-000028,PROD-000503,1,87.37,0.25
LINE-0000074,ORD-000028,PROD-000069,1,1054.97,0.0
LINE-0000075,ORD-000028,PROD-000230,4,147.17,0.25
LINE-0000076,ORD-000029,PROD-000083,2,764.68,0.25
LINE-0000077,ORD-000030,PROD-000389,5,99.07,0.15
LINE-0000078,ORD-000030,PROD-000489,1,157.18,0.15
LINE-0000079,ORD-000030,PROD-000271,1,122.91,0.0
LINE-0000080,ORD-000031,PROD-000257,1,159.69,0.2
LINE-0000081,ORD-000031,PROD-000237,1,196.84,0.25
LINE-0000082,ORD-000031,PROD-000023,1,739.06,0.1
LINE-0000083,ORD-000032,PROD-000530,1,17.09,0.2
LINE-0000084,ORD-000032,PROD-000315,1,165.68,0.0
LINE-0000085,ORD-000032,PROD-000519,4,69.76,0.1
LINE-0000086,ORD-000033,PROD-000112,1,330.17,0.05
LINE-0000087,ORD-000033,PROD-000155,1,318.18,0.05
LINE-0000088,ORD-000033,PROD-000234,2,242.58,0.25
LINE-0000089,ORD-000034,PROD-000103,1,612.87,0.15
LINE-0000090,ORD-000034,PROD-000526,4,15.1,0.2
LINE-0000091,ORD-000035,PROD-000437,2,39.62,0.05
LINE-0000092,ORD-000035,PROD-000347,1,27.56,0.0
LINE-0000093,ORD-000035,PROD-000314,2,154.58,0.25
LINE-0000094,ORD-000035,PROD-000085,2,735.76,0.0
LINE-0000095,ORD-000036,PROD-000059,2,1314.73,0.2
LINE-0000096,ORD-000036,PROD-000454,3,149.0,0.0
LINE-0000097,ORD-000036,PROD-000423,2,42.83,0.2
LINE-0000098,ORD-000037,PROD-000032,2,239.97,0.1
LINE-0000099,ORD-000037,PROD-000349,1,42.44,0.05
LINE-0000100,ORD-000037,PROD-000387,2,76.84,0.25
