line_key,order_key,product_key,quantity,unit_price,discount_pct,rejection_reason
LINE-0000004,ORD-000057,PROD-000172,1,358.58,0.2,Duplicate Primary Key
LINE-0000027,ORD-000088,PROD-000515,2,39.01,0.15,Duplicate Primary Key
LINE-0000045,ORD-000141,PROD-000496,1,46.38,0.1,Duplicate Primary Key
LINE-0000012,ORD-000148,PROD-000214,3,488.65,0.15,Duplicate Primary Key
LINE-0000030,ORD-000238,PROD-000399,1,70.9,0.2,Duplicate Primary Key
LINE-0000039,ORD-000342,PROD-000304,5,178.65,0.1,Duplicate Primary Key
LINE-0000038,ORD-000546,PROD-000005,1,247.55,0.25,Duplicate Primary Key
LINE-0000018,ORD-000641,PROD-000390,2,72.92,0.2,Duplicate Primary Key
LINE-0000039,ORD-000672,PROD-000028,1,87.66,0.15,Duplicate Primary Key
LINE-0000036,ORD-000873,PROD-000241,0,246.15,0.0,Duplicate Primary Key
LINE-0000025,ORD-000926,PROD-000335,5,82.66,0.05,Duplicate Primary Key
LINE-0000035,ORD-001109,PROD-000092,1,378.23,0.0,Duplicate Primary Key
LINE-0000004,ORD-000002,PROD-000257,-1,159.69,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000031,ORD-000013,PROD-000469,2,103.87,2.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000047,ORD-000019,PROD-000347,0,27.56,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000080,ORD-000031,PROD-000257,1,159.69,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000081,ORD-000031,PROD-000237,1,196.84,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000082,ORD-000031,PROD-000023,1,739.06,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000108,ORD-000040,PROD-000086,1,1346.85,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000112,ORD-000043,PROD-000034,1,0.0,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000114,ORD-000044,PROD-000092,2,378.23,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000115,ORD-000044,PROD-000042,2,620.64,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000116,ORD-000044,PROD-000173,2,49.13,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000127,ORD-000049,PROD-000354,2,19.9,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000128,ORD-000049,PROD-000170,1,-69.28,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000129,ORD-000049,PROD-000493,2,37.65,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000130,ORD-000049,PROD-000472,1,155.29,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000131,ORD-000050,PROD-000246,-1,89.32,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000141,ORD-000054,PROD-000427,1,-17.55,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000145,ORD-000055,PROD-000201,4,223.57,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000146,ORD-000055,PROD-000361,1,81.85,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000147,ORD-000055,PROD-000069,1,1054.97,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000148,ORD-000055,PROD-000051,1,917.65,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000150,ORD-000056,PROD-990423,3,103.9,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000164,ORD-000062,PROD-000155,3,318.18,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000165,ORD-000062,PROD-000348,1,-75.18,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000170,ORD-000064,PROD-000348,1,-75.18,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000174,ORD-000065,PROD-000234,-1,242.58,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000177,ORD-000066,PROD-000279,1,-88.05,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000179,ORD-000067,PROD-000250,1,143.2,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000180,ORD-000067,PROD-000414,1,26.39,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000181,ORD-000067,PROD-000003,3,266.03,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000182,ORD-000067,PROD-000448,1,45.04,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000206,ORD-000079,PROD-000405,-5,14.81,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000208,ORD-000080,PROD-000170,1,-69.28,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000220,ORD-000084,PROD-990496,1,116.36,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000221,ORD-000085,PROD-000371,2,86.7,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000222,ORD-000086,PROD-000354,1,19.9,1.5,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000230,ORD-000088,PROD-000034,2,0.0,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000254,ORD-000100,PROD-000497,1,185.59,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000268,ORD-000107,PROD-990666,1,41.82,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000269,ORD-000107,PROD-000429,2,49.57,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000292,ORD-000119,PROD-000264,-5,124.31,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000293,ORD-000120,PROD-000483,1,141.02,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000294,ORD-000120,PROD-000166,1,325.83,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000295,ORD-000120,PROD-000064,1,177.73,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000296,ORD-000120,PROD-000063,1,194.38,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000297,ORD-000121,PROD-000302,1,175.06,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
