order_key,customer_key,order_timestamp,order_status,payment_method,shipping_region,fulfillment_center,rejection_reason
ORD-000031,CUST-990120,2024-09-29 19:28:00,Delivered,PayPal,WA,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000040,CUST-000550,2025-04-19 04:16:00,UNKNOWN_STATE,Credit Card,NY,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000044,CUST-990468,2024-03-26 06:09:00,Delivered,Credit Card,TX,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000049,CUST-000583,2025-12-11 18:13:00,PENDING_CHECK,Direct Bank Transfer,NC,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000055,CUST-990547,2026-07-03 01:51:00,Delivered,Apple Pay,NY,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000062,CUST-000439,2024-05-03 13:51:00,Processing,Apple Pay,TX,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000067,CUST-990556,2024-11-29 18:03:00,Delivered,Direct Bank Transfer,NY,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000085,CUST-000574,2024-11-24 01:31:00,Delivered,Buy Now Pay Later,NC,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000100,CUST-000577,2024-10-31 04:54:00,UNKNOWN_STATE,Direct Bank Transfer,CO,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000107,CUST-000354,2024-11-20 16:10:00,Delivered,Credit Card,PA,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000119,CUST-990324,2025-07-17 17:18:00,Delivered,PayPal,NC,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000120,CUST-000572,2024-12-16 16:21:00,DISPATCH_ERROR,PayPal,NY,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000121,CUST-000559,2025-09-29 08:15:00,Delivered,Apple Pay,NC,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000135,CUST-000220,2025-05-12 15:02:00,Delivered,PayPal,PA,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000138,CUST-000388,2029-12-31 23:59:59,Returned,Credit Card,TX,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000148,CUST-990456,2025-11-21 17:05:00,Returned,PayPal,NC,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000184,CUST-000586,2025-12-20 21:38:00,DISPATCH_ERROR,Direct Bank Transfer,CA,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000191,CUST-000436,2025-07-30 14:20:00,Delivered,Credit Card,FL,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000193,CUST-000439,2024-04-17 07:12:00,Delivered,PayPal,IL,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000212,CUST-000150,2024-03-30 07:32:00,Delivered,Direct Bank Transfer,OH,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000223,CUST-000574,2024-10-09 05:12:00,Shipped,Credit Card,IL,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000226,CUST-000177,2025-07-24 19:56:00,Shipped,Buy Now Pay Later,CA,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000230,CUST-000055,2025-11-06 08:55:00,Delivered,PayPal,WA,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000232,CUST-990191,2025-07-05 12:48:00,Returned,Direct Bank Transfer,GA,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000233,CUST-000538,2025-05-21 05:20:00,Delivered,Apple Pay,MI,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000244,CUST-000074,2025-02-03 01:34:00,Delivered,PayPal,FL,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
