return_key,order_key,product_key,return_date,return_quantity,return_reason,rejection_reason
RET-000002,ORD-000493,PROD-000265,2024-06-23 11:49:00,2,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000004,ORD-001096,PROD-000034,2024-05-22 12:34:00,1,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000009,ORD-990719,PROD-000298,2025-11-08 21:28:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000012,ORD-000825,PROD-000259,2024-11-29 22:56:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000015,ORD-000948,PROD-000496,2030-01-09 10:59:59,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000034,ORD-000784,PROD-000270,2025-09-18 09:20:00,-2,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000038,ORD-990558,PROD-000487,2024-11-11 04:53:00,2,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000041,ORD-000658,PROD-000026,2025-04-30 09:09:00,1,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000044,ORD-001187,PROD-000207,2023-01-01 00:00:00,1,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000047,ORD-990790,PROD-000273,2025-02-19 15:47:00,1,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000050,ORD-001191,PROD-000034,2025-02-17 16:20:00,1,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000057,ORD-990415,PROD-000316,2024-05-20 13:32:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000058,ORD-990543,PROD-000317,2025-12-24 07:28:00,1,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000063,ORD-001068,PROD-000245,2025-04-03 21:41:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000066,ORD-000244,PROD-000002,2025-02-15 11:34:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000072,ORD-000340,PROD-000335,2023-01-01 00:00:00,1,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000092,ORD-990720,PROD-000371,2024-03-08 07:48:00,2,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000095,ORD-000469,PROD-000014,2025-04-23 12:30:00,2,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000099,ORD-000576,PROD-000227,2023-01-01 00:00:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000104,ORD-000136,PROD-000242,2023-01-01 00:00:00,2,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000106,ORD-990227,PROD-000022,2025-04-05 10:28:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000113,ORD-000475,PROD-000265,2026-07-22 19:29:00,999,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000122,ORD-000421,PROD-000088,2023-01-01 00:00:00,1,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000123,ORD-001271,PROD-990703,2024-09-03 10:13:00,2,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
